,Q1,Q2,Q3,Total
S1,0,0,0,0
S2,0,0,0,0
S3,0,0,0,0
S4,0,0,5,16.7
S5,0,0,6,20
S6,0,2,4,20
S7,0,1,5,20
S8,0,2,4,20
S9,0,2,4,20
S10,10,0,0,33.3
S11,0,0,10,33.3
S12,0,5,5,33.3
S13,0,4,7,36.7
S14,0,2,10,40
S15,10,3,1,46.7
S16,0,6,10,53.3
S17,0,10,8,60
S18,0,8,10,60
S19,10,4,4,60
S20,10,10,0,66.7
S21,0,10,10,66.7
S22,10,6,4,66.7
S23,10,7,3,66.7
S24,10,6,7,76.7
S25,10,10,4,80
S26,10,6,9,83.3
S27,10,8,10,93.3
S28,10,10,10,100
S29,10,10,10,100
S30,10,10,10,100
S31,10,10,10,100
S32,10,10,10,100
S33,10,10,10,100
S34,10,10,10,100